Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pgbp3_base","41 011.69","41","1.74","12 679.24 (12.60%)","97","71 (73.20%)","slx3.5 risk2 baseline"
"pgbp3_r25","53 077.21","53.1","1.74","15 689.73 (15.57%)","97","71 (73.20%)","risk2.5"
"pgbp3_r30","65 943.21","65.9","1.75","18 622.43 (18.46%)","97","71 (73.20%)","risk3.0"
"pgbp3_slx32","34 456.96","34.5","1.57","12 454.41 (12.35%)","97","69 (71.13%)","slx3.25"
"pgbp3_slx37","33 285.02","33.3","1.61","12 946.29 (12.89%)","97","71 (73.20%)","slx3.75"
"pgbp3_atroff","45 177.06","45.2","1.80","11 839.48 (11.77%)","100","74 (74.00%)","slx3.5 atrOFF"
"pgbp3_imp15","37 160.24","37.2","1.70","12 679.24 (12.60%)","89","64 (71.91%)","slx3.5+imp1.5"
"pgbp3_body05","40 138.78","40.1","1.57","12 238.91 (12.16%)","114","82 (71.93%)","slx3.5+body0.5"
"pgbp3_soff","-36 254.29","-36.3","0.91","79 110.14 (71.44%)","719","351 (48.82%)","slx3.5 slowOFF"
"pgbp3_g05","32 388.53","32.4","1.71","9 818.49 (9.76%)","97","63 (64.95%)","slx3.5 guard0.5"
"pgbp3_qc","17 194.43","17.2","1.64","8 257.01 (8.24%)","97","71 (73.20%)","slx3.5 qualityC"
"pgbp3_r25_atroff","58 728.68","58.7","1.81","14 672.54 (14.56%)","100","74 (74.00%)","risk2.5 atrOFF"
"pgbp3_r30_200","96.42","48.2","1.69","30.84 (15.24%)","94","68 (72.34%)","risk3 "
"pgbp3_r25_200","87.12","43.6","1.82","25.90 (12.90%)","91","66 (72.53%)","risk2.5 "
