Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"peur4_rr20","2.25","1.1","1.02","13.71 (6.40%)","310","52 (16.77%)","winner baseline rr2"
"peur4_rr18","7.44","3.7","1.06","10.81 (5.19%)","333","60 (18.02%)","rr1.8"
"peur4_rr22","-0.98","-0.5","0.99","18.14 (9.07%)","269","45 (16.73%)","rr2.2"
"peur4_rr20_slx35","3.02","1.5","1.06","7.50 (3.61%)","133","25 (18.80%)","rr2+slx3.5"
"peur4_rr20_slx30","-10.27","-5.1","0.85","13.57 (6.78%)","189","30 (15.87%)","rr2+slx3"
"peur4_rr20_m15z","6.30","3.2","1.06","11.39 (5.29%)","282","50 (17.73%)","rr2 zones M15"
"peur4_rr20_imp15","8.44","4.2","1.07","12.07 (6.03%)","297","51 (17.17%)","rr2 imp1.5"
"peur4_rr20_slx35_m15z","11.83","5.9","1.24","7.02 (3.31%)","130","26 (20.00%)","rr2+slx3.5+M15z"
"peur4_rr20_slx35_imp15","7.94","4","1.16","7.19 (3.49%)","130","26 (20.00%)","rr2+slx3.5+imp1.5"
"peur4_rr20_100k","-5 003.25","-5","0.95","11 259.60 (10.73%)","482","76 (15.77%)","winner  confirm"
