"Preset","Net","PF","EquityDD","Trades","WinRate"
"hlth3_norr_g05r1","209 031.93","1.31","101 014.94 (28.79%)","153","81 (52.94%)"
"hlth3_norr_g05r05","83 237.81","1.29","43 612.50 (25.23%)","153","81 (52.94%)"
"hlth3_rr_g05r05","18 711.51","4.00","10 957.17 (10.65%)","5","2 (40.00%)"
"hlth3_norr_g10r1","98 602.19","1.11","106 538.91 (40.34%)","153","92 (60.13%)"
