Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"peur2_soff_rr20","-87.97","-44","0.77","92.74 (45.33%)","1102","156 (14.16%)","slowOFF slx2.5 minRR2"
"peur2_soff_rr25","-47.33","-23.7","0.85","59.03 (28.10%)","882","119 (13.49%)","slowOFF slx2.5 minRR2.5"
"peur2_soff_rr30","-35.89","-17.9","0.86","44.23 (21.44%)","673","82 (12.18%)","slowOFF slx2.5 minRR3"
"peur2_soff_qa","-191.04","-95.5","0.84","257.09 (96.63%)","1946","589 (30.27%)","slowOFF quality A"
"peur2_soff_qc","-168.94","-84.5","0.85","201.65 (86.73%)","2132","552 (25.89%)","slowOFF quality C"
"peur2_soff_imp15","-111.66","-55.8","0.77","120.30 (57.71%)","1679","401 (23.88%)","slowOFF imp1.5"
"peur2_soff_slx35","-75.43","-37.7","0.83","89.84 (41.94%)","1436","465 (32.38%)","slowOFF slx3.5"
"peur2_soff_guard10","-120.33","-60.2","0.80","137.21 (63.37%)","1682","508 (30.20%)","slowOFF guard1R"
"peur2_m15","-3.18","-1.6","0.14","3.41 (1.70%)","8","1 (12.50%)","chart M15 zones M15,H1"
"peur2_m15_soff","-9.19","-4.6","0.94","18.43 (8.92%)","459","109 (23.75%)","M15 slowOFF"
"peur2_trendoff","-37.63","-18.8","0.46","39.07 (19.52%)","181","65 (35.91%)","trend OFF slowON 0.7"
"peur2_d1trend","-6.36","-3.2","0.68","8.05 (4.03%)","58","22 (37.93%)","trend D1"
