Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pgbp_eurbest","-10 588.00","-10.6","0.93","41 657.51 (40.80%)","302","59 (19.54%)","EUR Best stack M15 risk1.5 rr1.5 slx3.5 soff"
"pgbp_eursafe","-1 916.81","-1.9","0.96","10 381.94 (10.25%)","234","40 (17.09%)","EUR Safe risk0.5 rr1.8"
"pgbp_xaum5","-8 160.70","-8.2","0.54","9 235.57 (9.19%)","76","32 (42.11%)","XAU Pro M5 slow0.7"
"pgbp_vid_m15","6 251.04","6.3","1.07","20 468.55 (20.33%)","97","49 (50.52%)","video M15 slow1.0 guard1R risk2"
"pgbp_vid_h1","-2 079.08","-2.1","0.88","9 443.85 (9.32%)","22","12 (54.55%)","video H1"
"pgbp_vid_h4","-8 051.27","-8.1","0.31","11 501.97 (11.12%)","10","3 (30.00%)","video H4"
"pgbp_m15_slow07","-12 898.67","-12.9","0.42","15 439.85 (15.30%)","32","10 (31.25%)","M15 slowON 0.7"
"pgbp_eurbest_200","-16.73","-8.4","0.92","61.05 (29.88%)","260","48 (18.46%)","EUR Best "
