Preset,Net,ReturnPct,PF,EquityDD,Trades,WinRate,Notes
"pust_base","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","goldPro M5 slow0.7"
"pust_slow05","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","slowMax0.5"
"pust_slow06","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","slowMax0.6"
"pust_slow08","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","slowMax0.8"
"pust_slx25","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","slx2.5"
"pust_slx30","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","slx3.0"
"pust_eurstyle","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","EUR winner adapted"
"pust_m15_slow","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","M15 slowON 0.7"
"pust_m5_soff","0.00","0","0.00","0.00 (0.00%)","0","0 (0.00%)","M5 slowOFF"
